EmpNo,First Name,Last Name,Department,Wage,Project Completion Rate
171,Chelsea,Payne,Sales,9310.76,15.716809
8170,Regina,Moore,Sales,87383.86,17.223413
7081,Jessica,Williams,Testing,671.92,17.33298
206,Sara,Tran,HR,61456.72,18.070196
3526,Richard,Stewart,IT,44883.9,18.481876
6866,Austin,King,Testing,4746.5,18.52176
8492,Luis,Bender,Sales,18694.39,18.62228
6123,Margaret,Davis,HR,29099.11,19.227583
4427,Megan,Vincent,Sales,29308.76,19.368864
6555,James,Cruz,Testing,77714.58,19.736423
5753,Chelsea,Hatfield,HR,53879.31,19.78956
3983,Christopher,Mendoza,IT,89233.67,19.80291
8019,Kevin,Chavez,IT,87900.86,20.070576
3578,Alexis,Sims,Sales,74278.29,20.112713
1871,Robert,Gordon,IT,55959.26,20.392418
6701,Tanya,Williams,HR,18301.03,20.466679
9273,Joseph,Kemp,IT,73869.23,20.838392
6272,Matthew,Nelson,Testing,55729.55,21.123657
1569,Melanie,Clark,HR,22548.19,21.359205
120,Debra,Reynolds,Research,3408.72,21.565277
6284,Laura,Perkins,Sales,63038.65,21.609116
7357,Brianna,Yoder,Research,91986.5,21.632887
1622,Timothy,Miller,Testing,48662.4,21.717176
8519,Lisa,Johnson,HR,18435.43,21.78861
4535,Rose,Cruz,Sales,58544.3,21.971472
6181,Linda,Burns,IT,6026.1,22.190115
6577,Daniel,Reed,Testing,97131.16,22.337261
7590,Juan,Jordan,IT,26306.94,22.663279
9837,Mary,Rosario,HR,86632.65,22.710382
7645,Barry,Johnson,HR,18052.13,22.737078
9122,Anthony,Scott,HR,39918.68,22.871038
4584,Todd,Williams,HR,24023.23,22.909758
4998,Connie,Day,HR,27160.98,22.989704
2906,Justin,Murphy,Sales,85657.52,23.087515
1238,Kimberly,Roberts,Research,40684.39,23.12284
3557,David,Duncan,Testing,44011.06,23.133688
5721,Amy,Williams,Research,42744.67,23.181038
2474,Victoria,Weiss,Sales,20135.01,23.19094
7223,Briana,Lowe,Sales,18820.38,23.237663
4891,Faith,Davis,Testing,46675.17,23.254526
983,Mark,Johnson,IT,83557.24,23.282272
3463,Jason,Vargas,Research,70010.05,23.518602
3207,Kyle,Peterson,Sales,56752.93,23.524553
6617,Jesse,Powell,Testing,97980.48,23.53393
3101,Thomas,Robinson,IT,95845.68,23.598099
3184,Christina,Romero,HR,11103.66,23.852514
480,Tony,Ward,Sales,86586.81,24.047075
8567,Donald,Elliott,HR,76069.51,24.072273
9502,Rhonda,Vance,Testing,44045.88,24.10814
7302,Michael,Miles,Sales,21941.77,24.27634
2211,Shawn,Diaz,IT,36314.8,24.324469
1552,Casey,Carrillo,Sales,74148.29,24.357634
6207,John,Hall,Testing,15587.52,24.72853
8353,Jason,Bender,HR,17117.3,24.733147
3771,Kevin,Sandoval,IT,29160.17,24.733734
4197,Shawn,Hill,Testing,40172.56,24.736391
3976,Teresa,Goodwin,Research,53911.28,24.763916
6379,Jeremy,Mann,Research,51800.32,24.809414
8664,Jay,White,HR,9695.83,24.811745
7682,Amanda,Peterson,Testing,34053.08,24.967884
943,Jay,Parker,Sales,67505.23,24.989538
7726,Gregory,Thomas,Sales,52472.02,25.045584
3757,Monica,Walls,Sales,52208.11,25.053352
4028,Joseph,Thomas,HR,96360.85,25.095385
8465,Lindsey,Cox,HR,89389.7,25.14208
9795,Jonathon,Davis,Research,62907.25,25.179605
59,Mallory,Jones,Research,13969.06,25.314854
252,Lisa,Young,Research,37109.98,25.3202
3647,Renee,Jackson,Testing,72749.21,25.328503
8201,Jessica,Phillips,Research,66894.48,25.439117
3007,Carrie,Alexander,HR,92804.15,25.488796
7477,Jillian,Jones,Research,88566.89,25.496172
7337,Cristian,Stanley,HR,54504.01,25.525661
7691,Julia,Walker,Sales,18621.06,25.789434
5525,Matthew,Garcia,Testing,70203.96,25.90112
6575,Eric,Snyder,HR,22890.3,25.930832
7740,Jason,Gonzalez,Sales,99406.46,25.939558
9907,Robin,Lambert,Sales,63798.4,25.95539
6604,Joseph,Watkins,Testing,67532.06,26.02142
1801,Jeffrey,White,Sales,50436.02,26.038313
5890,James,Murphy,Sales,6219.53,26.051228
3385,Scott,Olson,HR,10047.49,26.055992
4087,Joseph,Curry,Research,46398.97,26.0833
